문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
5,5,5,5,5,5,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이브랜드는 올리브영 입점전부터 써본브랜드입니다
 수분크림구매시에 성분이 중요한데요
 어떤수분크림은 향료나 발림성좋게하기위해 여드름일으키는 쉐어버터 등피이지 피피지 넣는데
 요즘제품들은 소비자들이 워낙깐칸해서 이런 싸구려 쓰레기들 않넣고 중소기업든 제품들이 성분이 월등히 뛰어납니다
 브랜드 광고보다 성분보세오ㅡ
 수부지 ㆍ속건조ㆍ여드름피부추천입니다
 남성분들도 쓰세요ㅡ추천
 자작나무수액 몃프로 정확히 기재되어잇고
 전체성분이 독하고 피부에 해가되는 성분이 없습니다
 여름에 수분크림필수 쓰셔야 가을되면 피부건조잡티주름 안생깁니다
 끈적임싫타고 안바르는분 이거바르세오ㅡ
 가겹도 저렴하고 우리피부를 보호해주는 수분성분이 가든합니다
 화정전쓰셔도ㅡ밀림없습니다
 특히 악건성들은 이크림에 페이스오일 두방울 썩어 쓰시면됩니다
 
 눈밑자글자글고민인분ㅡㅡㅡ꿀팁
 이크림한번밀어바르고 페이스오일한방울석어서 또바르세오
 그리고한번더두둘겨바르세요
 머이렇게 많이 바르냐 하시겟죠
 주름안생기려면 이렇게 관리하셔야합니ㅏ
 저는이제품바르고 미백크림또바릅니다
 그리고 아이크림또한번바릅니다
 수분이잇어야미백효과가 작용하고 노화도멈춥니다
 저는50이고10년전부터 올리브영신상들 다사서 성분만골라서 바릅니다
 주름 안생김ㆍ잡티ㅡ선크림집에서도바름
 기미없슴
 자이제답나왓죠
 수분크림이 제일중요합니다
 추천",0
5,5,5,5,5,5,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"전에 어찌어찌하다 자작나무 수분크림 샘플을 받아 잘 쓰고 있는 중에
 1+1행사한다니 안 살수가 없더라고요
 저는 수부지 타입인데 일반 수분크림들은 가벼워서 좋지만
 속땡김이 느껴져서 언제부턴가 수분크림을 아예 안썼어요
 스킨토너+에센스+로션 (생략할때도있음) + 크림 으로 기초 마무리 하는데
 여름철이라 평소 쓰던 크림이 너무 헤비하게 느껴지고
 크림을 생략하고 로션으로 마무리하니 너무 가벼운것 같고
 그래서 자작나무 수분크림 샘플로 마무리 해줬는데 딱이네요
 자작나무 수분크림은 다른 수분크림과 비교했은때 덜 묽다? 크림느낌이 더 난다 이런 너낌! 이고
 화장품 독한 향이 안나서 너무 좋아요
 또!! 사용감이 좋으면 뭐해? 기초 후 메이크업을 올렸을때도 중요 하잖아요!!
 썬크림 베이스후 팩트던 파데던 매끄럽게 잘 올라갑니다.
 시간지나고 타 크림 발랐을때보다 유분도 덜 올라오구요.
 올 여름 가을은 자작나무 수분크림으로 계속 갈 예정입니다.
 
 근데 왜 크림들은 다 이렇게 통? 으로 나올까요ㅜㅜ
 스파츌러도 주셨지만 매번 닦고 쓰기도 번거롭고 일단 뚜껑을 열면
 내용물들이 공기들과 접촉하니깐 더 안좋을것 같은데
 샘플형태는 튜브형으로 잘 썼거든요.
 본품도 튜브형이면 좋겠다는 생각을 했어요.",1
4,5,5,5,4,4.6,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"올리브영 대표 클린뷰티! 라운드랩!
 
 # 라운드랩 자작나무 수분 크림 
 
 ✔️ 제 피부는 복합성 피부고 블랙헤드 피지 고민점이 있는 피부 입니다! 이 수분 크림은 메이크업 전 아침 스킨케어용으로 구매했어요!
 
 ☑️제품 특징
 ➡️인제 자작나무 수액 (수분 밸런스 유지)
 ➡️비타 히알루론산 (수분 공급)
 ➡️수분 캡슐 타입 (보습)
 
 ☑️전체적인 후기
 ✔️향은 무향에 가까워요!
 ✔️제형은 파란빛이 띄는 수분 젤 크림 느낌이에요!
 ✔️부드럽게 잘 발리고 촉촉함이 느껴지고 흡수는 빠른편이에요!
 ✔️메이크업 전에 사용하셔도 무겁지 않고 밀리지 않습니다!
 ✔️20가지 주의성분 + 알레르기 유발성분 X
 
 👎🏻아쉬운 점
 ➡️ 저는 보통 수분 크림을 튜브 용기 제품을 좋아하는 편이에요! 대체로 통에 든 크림이 많은데 열 때마다 공기가 닿다보니 위생적이지 않다고 생각을 했거든요! 튜브 형식으로도 만들어서 팔아주셨으면 좋겠습니다! 
 
 🙆🏻‍♀️추천 드립니다
 ➡️모든 피부용 수분크림 찾으시는 분 
 ➡️진정 수분 크림 찾으시는 분
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 진정수분 클린성분",2
3,4,4,4,4,3.8,0.4472135955,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"💚수분감
 진짜 내가 찾던 수분만 있는 제품.. 유분은 기름종이 보시면 알겠지만 1도 없으니까 건성 분들은 추가로 더 발라주셔야해요! 지성분들은 사계절 내내 사용할 수 있는 촉촉한 크림.. 저는 수부지라 수분크림에다가 다른 크림하나 발라주고 있어요! 어느정도 유분을 줘야 덜 건조해지는 건 맞더라구요.. 근데 이 크림은 속건조를 확실하게 잡아줘서 여름에는 다른 크림 쓸 필요 없을 것 같아욤
 
 💚제형
 요거트보다 조금 더 묽은 제형이에요! 만지면 그대로 퍼지는게 아니라 수분이 손가락을 사악 감싸고 그 안에 몽글몽글한게 옆으로 비켜가는 그런거라 해야하나.. 스파출라로 꼭 떠서 사용해야해요! 아니면 안에서 손가락 계속 꼬물거리면서 발라야함 ㅜ
 
 💚향
 무향이라 아무것도 신경쓰이지 않았어요! 최대 장점 ㅎㅎ
 
 💔캡슐
 이게 진짜.. 펴바른 후에 사진 보면 엄지 손가락 밑쪽부분에 캡슐 안 터진거 보이시죵? 화장하면 저거 진짜 거슬리니까 아예 충분히 흡수시켜 주시거나 따로 걷어내주셔야해요!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",3
3,5,4,4,4,4,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"원쁠원 행사 넘 좋아요 이번달 끝나기 전에 하나 더 사놓을까 고민이 되네요 .. ❄💙
 
 여름용 수분크림 찾는 건성 김미연 다 이거 함 써봐 ..
 
 넘 무겁지도 가볍지도 않은 시원한 사용감의 크림입니다!!! 젤크림이라 펴바르기도 좋아요!! 조금 놔두면 흡수 금방 되고 마무리도 산뜻하게 느껴져요. 가벼운 사용감에 비해 보습력은 짱짱헙니다!
 
 젤크림이라 시원하기만 하고 보습은 전혀 안 된다? 무슨 말씀을 하시는 거죠?? 이 아이는 다릅니다!!! 속보습을 완전 잘 챙겨주는 느낌!!! 특히 여름에 하나쯤 갖고 있으면 정말 좋습니다!! 간절기에는 건성피부들에게 조금 미흡하겠지만 날 더운 여름날 피지로 고생하시는 분들 .. 흑흑 그분들에게 아주 찰떡이에요. 혹은 지성분들 .. 무거운 크림에 지친 사람들 이거 쓰고 광명찾아보소 .. 
 
 적당한 피지에 적당한 보습이 섞여서 유수분 밸런스를 맞춰준다는 느낌🌊
 
 안에 수분 알갱이?가 들어있는데 처음에 얼굴 발랐을 때 크림 뭉친 거인줄 알았어요 🥲 그게 아니라 수분캡슐이었음 .. 가볍게 바르면 알아서 잘 터집니다 꼼꼼하게 바르시면 좋아요.
 
 제형이 가볍다보니까 얼굴에 두껍게 올라가기 쉬웠어요. 그래서 한 번 바르고 걷어내는 작업을 항상 하게되는 거 같아요. 남은 애들은 목으로 갑니다!! 목주름에도 수분 충전을 !!
 
 자작나무 성분이 맞는 분들이 있고 안 맞는 분들이 있다하더라고요. 저는 상관없이 편하게 발랐습니다!",4
4,4,4,4,4,4,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"몇개월 전에 샘플을 받아보게 되서 써봤다가 너무 좋아서 구매했어요
 제형이며 흡수 되는거며 속건조 완화까지 그 어떤 크림이 와도
 자작나무 수부크림 이길수 없어요
 
 장점- 가벼운 제형이지만 굉장히 촉촉해요
 아주 적당한 유분감과 수분감이 속건조를 싹 잡아줘요(유분감 10%, 수분감 90%)
 12, 1월 빼고 10개월 내내 사용 할수 있는 크림입니다
 도포했을땐 마치 젤크림 처럼 가벼워서 속건조를 잡아 줄수 있을까 걱정 하지만 도포하고 문지르는 순간 느낄 수 있어요 
 무향이라서 더 마음에 들어요
 
 단점- 양에 비해 왜이렇게 비싼건지... 노이해
 물론 성능으로 좋은 기능을 하는 크림이니 만큼 그에 맞게 비싼 가격으로 측정 됐겠지만....... 비싼 느낌은 지울 수 없네요ㅠㅠ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",5
3,4,4,4,4,3.8,0.4472135955,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"진짜 되게 순해요....ㅎㅎ....이거 전에 올리브영에서 그이벤트 당첨되서 받고 써봤는데, 제일~~~!! 좋고 피뷰 자극도 없고 약간 파란 하늘색 ? 느낌인데 흡수가 되게 잘되요 !! 보면 알갱이 같은게 있은데 수분알갱이 인듯해요..!
  자극 없이 잘 발리고 화장도 안밀리고 이거랑 자작나무 선크림이랑 바르니 촉촏하니 좋네욤!!!
 민감성 피부라 이것저것 한제품 오래 못바르는데요 ㅜ 이건 진짜 피부가 좋아지는게 보이네요 남편이랑 같이 쓰는데 둘다 피부 좋아졌어옴~ 발림성도 좋고 일단 지금처럼 여름엔 쵝오 일듯..!!!
 이거 튜브타입을 증정으로 주는데 크림처럼 떠서 바르는 것보다 튜브가 간편하고 위생적이여서 좋은것 같네욤~~ 튜브만으로도 나와도 될듯해요!!
 피부 진정에 모든피부가 사용하기 좋을거같네욤!>^_< 마스크때문에 자극을 많이 받아 진정이 필요한 얼굴 모공이 넓은사람 수분 부족한 지성피부 여드름 피부 민감성 피부 복합성피부 에게 딱 좋은 제품인것같아요 ~~^^그냥 쓰다보니 좋네요 근데 진짜 좋아요 후기 좋은데는 이유가잇겟종
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",6
3,4,4,3,3,3.4,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"🥝제품정보
 냄새: 막코인 저에게는 아무냄새도 나지 않았어요
 
 제형: 딱 바르기 좋은 제형이에요. 살땐 몰랐지만 쓰다보니까 발견한건데 안에 투명한 알갱이가 들어있더라고요.
 
 용량: 본품에 딸려온 리필? 같은거 한달째 사용중입니다. 본품 뜯지도 않았어요ㅋㅋ
 
 용기: 차라리 본품은 안써봤지만 본품처럼 떠서 쓰는것보다는 딸려온것처럼 치약같이 짜서쓰는 용기가 편할것 같아요.
 
 🥝사용후기
 트러블이 올라온다거나 하는건 없었고요, 특정 클렌징 워터를 쓰면 건조해지는 피부에 브링ㅇㅇ 시카토너>이니ㅇㅇㅇ 그린티 세럼> 라운드랩 크림 이런 루틴으로 바르면 흡수도 빠르고 진정이 됩니다.
 
 🥝아쉬운점
 쓰고나면 약간 미끌거림이 남아있네요ㅜㅜ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 여드름 크림 추천",7
4,5,4,4,4,4.2,0.4472135955,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이건 꽤나 만족스러워 재구매한 수분크림이죠.
 복합성 피부지만 최근 점점 더 건성에 가까워지고 있는건가 싶을 정도로 속건조가 심해진 피부때문에 고민이에요. 라운드랩 제품을 사용하면서 편안하게 피부에 맞다는 느낌을 받은 후 신뢰감이 쌓여가다가 자작나무 수분크림이 인기길래 궁금함에 사용해봤다가 여느 수분크림보다 훨씬 속보습 충전되고 자극없는 편안함에 반해서 재구매까지 하게 됐네요.
 약간 푸른빛이 도는 쿨링감있는 제형이고 알갱이가 있지만 펴바르면 자극없이 알갱이가 사라지며 흡수되요.
 젤형태의 수분크림은 보통 바른 후 시간이 지나면 증발된다는 느낌이 없지 않아 있어 여러차례 덧발라야되는 경우가 있는데 이 크림은 시간이 지나도 촉촉함이 유지되어서 좋아요.
 끈적임없이 싹 흡수되지만 속까지 수분이 꽉 채워지는 느낌이라 완전 만족입니다.
 단점이라면 역시 용기네요. 스파출러 사용 넘 불편해요..편리함과 위생적인 부분에서 증정품처럼 튜브형식으로 나왔으면 참 좋겠어요.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",8
3,5,5,5,4,4.4,0.894427191,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"최근 라운드랩 제품을 찾으시는 고객님이 많아져 궁금해서 구매해봤어요!!
 라운드랩 제품은 처음 사용해보는데 역시 많이 구매하시는 이유가 있는 것 같아요👏
 
 좋은점👍 촉촉하고 순하고 흡수 빠르고 세박자를 다 갖춘 제품입니다!
 피부가 건조한편이라 한 여름에도 수분크림을 꼭 바르고 다니는데 라운드랩 자작나무 수분크림처럼 가볍+촉촉한 제품은 처음이에요!!
 수딩젤과 크림 사이의 질감이라 가벼울거라 생각했는데 의외로 속건조를 싹 잡아줘요!
 흡수도 빨라서 화장 전에 발라도 밀리는 느낌 없이 피부를 촉촉하게 유지해줍니다!
 너무 무겁지도 가볍지도 않은 제형이라 모든 피부타입이 다 사용 가능할 것 같아요!
 지성분들은 자작나무 수분크림만, 저처럼 건성이신분들은 원래 바르시던 제품 전에 레이어드 하셔도 좋을 것 같아요!
 성분도 착해서 민감성이신 분들도 편하게 사용하실 수 있을 것 같습니다👏
 
 아쉬운점은 튜브형이 아니고 스패츌러로 덜어쓰는 타입이라 스패츌러를 보관하기가 조금 애매해요...🥲
 저는 뚜껑에 붙여두고 사용하고 있는데 튜브형식으로 나오면 너무 좋을 것 같아요!!
 
 여름에 사용할 가볍고 흡수 빠른 수분크림 찾으시는 분들은 라운드랩 자작나무 수분크림 꼭 구매해보세요!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 라운드랩 자작나무 수분크림",9
