문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
2,,,,,2,#DIV/0!,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),진짜 너무 순한데 그럼에도 불구하고 각질제거도 되고 보습도 잘 되서 너무 좋아요! 지금 3번째 재구매입니다!,5380
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),"순한 독도토너,,첨엔 물 같은게 토너인가 했는데 진정되고 깔끔하니 조아요 계속 쓰는중이에오😊",5381
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),"순하고 좋고요, 피지오겔 수분크림이랑 같이 쓰는데 조합 좋아요. 근데 이니스프리 세럼이랑은 안맞는듯",5382
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),이거 계속 주변친구들이 좋다 좋다 해서 사봤는데 정말 좋아요!! 바르고 건조한 것도 하나도 없고 사용하고 트러블 난 건 없었어요! 전 정말 좋았습니당 순해서 딱입니당 ㅎㅎ,5383
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),"매번 쓰는 토너에요
 솜이랑 같이써서 닦토로 쓰고 있어요
 사계절에 쓰고 건성인 동생이랑 지성인 저랑 같이 쓸 정도로 두루 잘 맞아요",5384
1,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),타 제품 쓰다가 독도토너 유명하다 해서 사봤는데 저는 다른 점을 딱히 모르겠어요... 닦토하긴 좋아요 !,5385
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),피부가 예민하고 지성쪽에 가까워서 토너 고를때마다 고민했었는데 이번에 독도 토너 쓰고 피부가 진정되서 너무 좋아요 ㅠㅠ,5386
1,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),용량도 크고 미니사이즈도 주셔서 좋네요. 겨울이든 여름이든 부담스럽지 않게 팍팍 쓰기 좋을 것 같아요! 공병에 넣어서 미스트로 써도 괜찮구요,5387
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),"오래쓰던 토너를 이번에 바꿔봤는데, 이전꺼보다 자극없이 부드럽고 보습이나 각질정리에 더 탁월했습니다. 앞으로도 계속 쓰게 될것같아요",5388
2,,,,,,,라운드랩 1025 독도 토너 대용량 500ml 기획(토너 100ml 증정),"꾸준히 쓰고있어요
 순하게 자극 없고 피지 줄여주면서 피부결 정돈이 잘
 되는 것 같아 쓰고있어요 이거보다 엄청 좋은 대체품이 없다면 앞으로도 계속 쓸 예정이에요~",5389
