문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
1,1,1,1,1,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),친구추천으로 한번쓰고나서 그뒤로도 계속 쓰고있어요 ㅎㅎ 할인자주해주세여,500
2,2,1,1,2,1.6,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),부드럽게 발리고 촉촉함도 유지가 잘되요~~ 용량 대비 가격이 조금 비싼 것 같아 세일할 때 구매하는 게 좋을 것 같아용,501
1,1,1,1,1,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),처음사용해보는건데 여름 수분크림으로 너무 좋아요! 게다가 지금 행사를 해서 덕분에 저렴하게 구매할수 있었습니다,502
2,2,2,1,2,1.8,0.4472135955,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"효진님 유튜브 봤다가 이번에 자작나무 수분크림 원플러스원 행사 한다고 해서 올리브영 가서 테스트 후 구매했어요! 
 끈적임 없이 촉촉한 수분감이여서 좋아요~! 후기보면 알갱이? 같은게 있다고 하시던데 저는 못느끼겠더라구요!! 더 써봐야알겠지만 대만족 수분크림입니다 !!!",503
3,3,2,2,2,2.4,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),제가 극건성인데요 좋다는 다른 제품들을 써 봤지만 건조는 잡히지 않았는데 이 크림은 복합성민감에 좋다고해서 건조하지 않을까 라고 생각했지만 아닙니다! 흡수도 잘 되고 건조하지도 않고 부들부들 ㅠㅠ 향도 무향이고 피부에 자극이 가지 않아 좋아요,504
2,3,3,2,3,2.6,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"엄 이상한 알갱이들이 많아서. ㅜ음에 너무 당황했어요 밤에만 써야할 거 같아요 보습감은 중복핮성 피부인데 엄청 좋다고 느껴지진 않아요 발랔ㅅ을 때는 좋은데 좀 있으면 약간 속건조는 있는 거 같아요 근데 또 다음날 아침은 괜찮은 거 같기도 하공,, 부담없이 그냥 쓸 크림",505
1,1,1,2,1,1.2,0.4472135955,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"아직 써보진 않았지만 저렴하게 구매했어요
 패드까지 감서합니다~^^",506
2,1,1,2,2,1.6,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"자극없이 너무 순하고 보습력도 좋아요!
 이 크림에 정착할 것 같아요ㅎㅎ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",507
2,1,1,1,2,1.4,0.5477225575,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"샘플쓰고 너무 좋아서 구매했어요!
 자극없이 순하고 보습에도 좋아요:)
 가을까지는 이 크림만 쓸 것 같아요ㅎㅎ",508
2,2,2,1,2,1.8,0.4472135955,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),순하다고 해서 믿고 구매했는데 이틀쓰고 얼굴 전체 두드러기가 확 났네요 며칠 고생할까봐 걱정이에요 이러다가 피부과까지 가게 생겼어요ㅡㅡ,509
