문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
1,,,,1,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"독도라인 쓰다가 이제 날도 더워지고 깔끔하고 산뜻한 수분크림 찾다가 샀어용! 여름에 습하고 더울때 가볍게 쓸수 있을것 같습니다~!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",900
2,,,,2,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"워낙 순하다는 얘기 많이 들었는데 역시 순하네요 독도시리즈는 슬리핑 팩부터 토너까지 워낙 자주 구매했어서 불안함 없이 샀어요 역시 좋네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",901
1,,,,2,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"진짜 순하고 수분감이 너무 좋아서 깜짝 놀랐어요! 라운드랩 제품은 다 순한느낌이라 믿고 씁니다!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",902
2,,,,2,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"드디어 정착한 저의 수분크림이에요
 수부지인 저에게 여름에 딱 쓰기 좋은 수분크림이에요
 볼쪽은 건성이라 다른 수분크림을 한번 덧 발라주고 있어요
 정말 가볍고 피부에 쫙 달라붙는 느낌이에요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",903
3,,,,3,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"나이트용으로 사용하는 제품은 따로 있는데
 메이크업 전에 사용하기엔 요즘 날씨엔
 리치하더라구요..
 메이크업 전에 가벼우면서도 보습 잡아줄
 제품으로 찾다가 구매했는데 딱입니다!
 자극도 없어서 트러블없이 잘 바르고 있어요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",904
1,,,,1,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이번에 처음산건데 순하고 수분이 많이들어있어서 여름템으로 좋아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",905
2,,,,1,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"자극없고 냄새없고 바르면 촉촉해요 다만 가성비가 좀...
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",906
2,,,,1,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"다른건 바르면 얼굴에 뾰루지가 나서 딸아이가 이것만 쓰네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",907
1,,,,1,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"나 선동균 피부 관리 하는 남자. 그래서 사용함.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",908
1,,,,2,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이 수분크림이 좋다해서 샀는데 무겁지 않고 산뜻한 느낌을 원했는데 이게 딱 그 느낌이라서 너무 좋았고, 알갱이가 있지만 잘 녹아서 문제는 아닌거 같네요 용량을 안 보고 샀더니 크기가 생각보다 작았어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",909
