평가,상품명,리뷰,index
1.5,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),이거 제발 쓰지마세요 얼굴이 벌겋게 붉다못해 두드러기 처럼 일어나요.,1833
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"워낙 유명한 토너라 구매했어요
 아직 트러블이 안 나서 효과는 잘 모르겠지만 유명한덴 이유가 있을거라 믿고 써요!!",1834
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),여름동안 피부가 아주 난리가 났는데 리뷰가 정말 좋은만큼 어성초...믿어보겠읍니다...😭,1835
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좁쌀에 좋다길래 한번 사봅니다 대용량이라 엄청 오래 쓰겟네요 기대해봐요,1836
3.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"같이온 패드가 너무너무 마음에 들어요! 그리고 이 스킨은 너무 가볍지도 않고 무겁지도 않고 그렇다고 수분이 부족한 건 전혀 아니라서 저처럼 수분부족형 지성인 분들은 더 마음에 드실 것 같아요! 
 팩처럼 좀 올려놓았다가 떼서 얼굴 찹찹 두드려주면 흡수도 잘되고 얼굴 땅김도 없이 수분도 채워주는데 얼굴 기름은 안생겨서 그 중간을 잘 알고 있는 제품인 것 같아요ㅜ!",1837
2.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"지성피부에 좋고, 피부진정에 효과가 있습니다
 자극 없이 순해서 손이 갑니다",1838
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"전에 쓰던거 다 떨어져서 사는데 역시나 좋아요
 그리고 미니어처랑 화장솜까지 줘서 좋아요 얼른 쟁겨놓길!",1839
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),순하고 좁쌀에 좋다고 해서 구매했는데 사진 보이는거처럼 찢어져서 왔네요..,1840
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"마음에 드는 구성입니다
 전부터 궁금했는데
 할인 찬스 제대로네요 ㅎㅎ",1841
1.0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"수호가 썼다고해서 이 제품에 대해 알아봤었습니다.
 다른 사람들의 리뷰도 꼼꼼이본결과
 다들 만족해서 사용하고 있더라고요.
 그리고 무엇보다고 가격도 많이 비싼편도 아니고
 250ml사보고 좋으면 대용량 사려고했습니다.
 이렇게 용량크기도 업되고 사은품까지 준다니 안살수가 없었어요.
 너무 만족하며 잘 사용하고있습니다 ㅎㅎ",1842
